provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Amazon Web Services,AWS global data-centre fleet,global,AWS global data centres,,2025,withdrawal,2.5,billion US gal,9463529460.0,approximate,Not region- or workload-attributed; not Amazon corporate operations; Secondary source (Trellis) reporting Amazon's disclosure,aws_withdrawal_trellis_2025,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,2025
Amazon Web Services,AWS global data-centre fleet,global,AWS global data-centre footprint,,2025,withdrawal,2.5,billion US gal,9463529460.0,approximate,Not region- or workload-attributed; not Amazon corporate operations; Fleet total; not regional or workload-attributed,aws_water_efficiency_page_2025,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,2025
Amazon Web Services,AWS global data-centre fleet,global,"AWS global leased, owned, and shared data centres",,2025,withdrawal,9.4,billion L,9400000000.0,exact,Amazon corporate operations and offices; region- or workload-level attribution; Global fleet total; not regional or workload-attributed; withdrawal only (no consumption/discharge split),amazon_2025_sustainability_report,https://sustainability.aboutamazon.com/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Ashburn, VA",US,2024,withdrawal,59.5,million US gal,225232001.148,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Ashburn, VA",US,2024,discharge,3.5,million US gal,13248941.243999999,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Ashburn, VA",US,2024,consumption,56.0,million US gal,211983059.90399998,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Ashburn, VA",US,2025,withdrawal,76.5,million US gal,289584001.476,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Ashburn, VA",US,2025,discharge,23.3,million US gal,88200094.56719999,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Ashburn, VA",US,2025,consumption,53.2,million US gal,201383906.9088,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Berkeley County, SC",US,2024,withdrawal,853.8,million US gal,3231984581.1791997,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Berkeley County, SC",US,2024,discharge,77.3,million US gal,292612330.9032,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Berkeley County, SC",US,2024,consumption,776.5,million US gal,2939372250.276,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Berkeley County, SC",US,2025,withdrawal,988.5,million US gal,3741879548.4839997,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Berkeley County, SC",US,2025,discharge,86.8,million US gal,328573742.8512,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Berkeley County, SC",US,2025,consumption,901.7,million US gal,3413305805.6328,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Bristow, VA",US,2024,withdrawal,105.7,million US gal,400118025.5688,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Bristow, VA",US,2024,discharge,21.3,million US gal,80629270.9992,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Bristow, VA",US,2024,consumption,84.4,million US gal,319488754.5696,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Bristow, VA",US,2025,withdrawal,359.6,million US gal,1361234077.5263999,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Bristow, VA",US,2025,discharge,92.0,million US gal,348257884.12799996,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Bristow, VA",US,2025,consumption,267.6,million US gal,1012976193.3984001,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Council Bluffs, IA",US,2024,withdrawal,1410.3,million US gal,5338566238.9752,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Council Bluffs, IA",US,2024,discharge,400.1,million US gal,1514543254.7784,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Council Bluffs, IA",US,2024,consumption,1010.2,million US gal,3824022984.1967998,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Council Bluffs, IA",US,2025,withdrawal,1746.4,million US gal,6610843139.5776,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Council Bluffs, IA",US,2025,discharge,400.4,million US gal,1515678878.3136,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Council Bluffs, IA",US,2025,consumption,1346.0,million US gal,5095164261.264,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,global,Data centers,,2024,withdrawal,9866,million US gal,37346872660.944,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,global,Data centers,,2024,discharge,2079,million US gal,7869871098.936,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,global,Data centers,,2024,consumption,7787,million US gal,29477001562.008,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,global,Data centers,,2025,withdrawal,13562,million US gal,51337754614.608,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,global,Data centers,,2025,discharge,3039,million US gal,11503866411.576,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,global,Data centers,,2025,consumption,10523,million US gal,39833888203.032,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Douglas County, GA",US,2024,withdrawal,444.1,million US gal,1681101373.2744,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Douglas County, GA",US,2024,discharge,77.2,million US gal,292233789.7248,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
